"UNITID","Students","Demographic"
122409,24567,"women"
122436,4515,"men"
122436,5767,"women"
122506,238,"men"
122506,179,"women"
122597,11937,"men"
122597,15169,"women"
122612,3789,"men"
122612,6775,"women"
122649,67,"men"
122649,89,"women"
122658,10701,"men"
122658,15819,"women"
122685,985,"men"
122685,2802,"women"
122694,415,"men"
122694,835,"women"
122728,942,"men"
122728,1167,"women"
122746,6098,"men"
122746,7612,"women"
122755,19349,"men"
122755,20856,"women"
122791,7193,"men"
122791,7779,"women"
122889,8438,"men"
122889,10465,"women"
122931,5007,"men"
122931,5122,"women"
122977,14928,"men"
122977,18698,"women"
123013,10878,"men"
123013,13331,"women"
123095,211,"men"
123095,1046,"women"
123165,8,"men"
123165,1104,"women"
123217,7511,"men"
123217,10224,"women"
123280,18,"men"
123280,10,"women"
123299,5494,"men"
123299,7005,"women"
123341,11436,"men"
123341,14019,"women"
123350,112,"men"
123350,227,"women"
123448,172,"men"
123448,372,"women"
123457,531,"men"
123457,679,"women"
123484,1373,"men"
123484,1438,"women"
123493,43,"men"
123493,99,"women"
123509,7756,"men"
123509,9313,"women"
123527,7968,"men"
123527,11538,"women"
123554,1312,"men"
123554,1796,"women"
123563,5795,"men"
123563,6987,"women"
123572,2548,"men"
123572,4147,"women"
123633,96,"men"
123633,207,"women"
123642,30,"men"
123642,318,"women"
123651,884,"men"
123651,1661,"women"
123679,167,"men"
123679,506,"women"
123800,12111,"men"
123800,14184,"women"
123916,16,"men"
123916,68,"women"
123943,193,"men"
123943,503,"women"
123952,359,"men"
123952,252,"women"
123961,24434,"men"
123961,27519,"women"
123970,400,"men"
123970,617,"women"
124113,4773,"men"
124113,3357,"women"
124283,153,"men"
124283,86,"women"
124292,269,"men"
124292,272,"women"
124487,65,"men"
124487,93,"women"
124681,865,"men"
124681,953,"women"
124706,171,"men"
124706,788,"women"
124937,164,"men"
124937,348,"women"
125028,7803,"men"
125028,10304,"women"
125037,121,"men"
125037,213,"women"
125082,31,"men"
125082,128,"women"
125091,8543,"men"
125091,12352,"women"
125170,4805,"men"
125170,6460,"women"
125231,12011,"men"
125231,60844,"women"
125310,13,"men"
125310,64,"women"
125462,2356,"men"
125462,2907,"women"
125471,7853,"men"
125471,11334,"women"
125499,4888,"men"
125499,6359,"women"
125532,1035,"men"
125532,2664,"women"
125718,98,"men"
125718,11,"women"
125727,535,"men"
125727,858,"women"
125763,364,"men"
125763,535,"women"
125897,431,"men"
125897,527,"women"
126012,126,"men"
126012,471,"women"
126049,96,"men"
126049,171,"women"
126076,204,"men"
126076,0,"women"
126119,3445,"men"
126119,5234,"women"
126182,1655,"men"
126182,2197,"women"
126207,4843,"men"
126207,5213,"women"
126289,8280,"men"
126289,10167,"women"
126359,23,"men"
126359,185,"women"
126562,11406,"men"
126562,17660,"women"
126580,6683,"men"
126580,8021,"women"
126605,492,"men"
126605,63,"women"
126614,26121,"men"
126614,20864,"women"
126669,6134,"men"
126669,11053,"women"
126678,1000,"men"
126678,1393,"women"
126687,92,"men"
126687,652,"women"
126711,3403,"men"
126711,4418,"women"
126748,740,"men"
126748,932,"women"
126775,5519,"men"
126775,2584,"women"
126784,133,"men"
126784,11,"women"
126818,16598,"men"
126818,20620,"women"
126827,19473,"men"
126827,33284,"women"
126863,5194,"men"
126863,6716,"women"
126915,112,"men"
126915,221,"women"
126942,4276,"men"
126942,7041,"women"
126951,1653,"men"
126951,198,"women"
126979,535,"men"
126979,532,"women"
127060,6174,"men"
127060,9830,"women"
127158,5656,"men"
127158,1129,"women"
127185,1738,"men"
127185,2045,"women"
127200,13937,"men"
127200,17599,"women"
127273,90,"men"
127273,113,"women"
127316,88,"men"
127316,340,"women"
127389,377,"men"
127389,471,"women"
127556,4633,"men"
127556,5524,"women"
