"unitid","Year","Murder","Negligent Manslaughter","Rape","Fondling","Incest","Statuatory Rape","Robbery","Aggravated Assault","Burglary","Motor Vehicle Theft","Arson"
105668001,"2019",0,0,0,0,0,0,0,0,0,0,0
105668002,"2019",0,0,0,0,0,0,0,0,0,0,0
105668003,"2019",0,0,0,0,0,0,0,0,0,0,0
105668005,"2019",0,0,0,0,0,0,0,0,0,0,0
105668006,"2019",0,0,0,0,0,0,0,0,0,0,0
105668008,"2019",0,0,0,0,0,0,0,0,0,0,0
105668009,"2019",0,0,0,0,0,0,0,0,0,0,0
105668010,"2019",0,0,0,0,0,0,0,1,0,0,0
105668011,"2019",0,0,0,0,0,0,0,0,0,0,0
105668013,"2019",0,0,0,0,0,0,0,1,0,0,0
105677001,"2019",0,0,0,0,0,0,0,0,0,0,0
105747001,"2019",0,0,0,0,0,0,1,0,0,0,0
105792001,"2019",0,0,0,0,0,0,0,0,1,0,0
105792002,"2019",0,0,0,0,0,0,0,0,0,0,0
105792004,"2019",0,0,0,0,0,0,0,0,0,0,0
105899001,"2019",0,0,0,0,0,0,0,0,9,1,0
106041001,"2019",0,0,0,0,0,0,0,0,0,0,0
106111001,"2019",0,0,0,0,0,0,0,0,0,0,0
106148001,"2019",0,0,1,1,0,0,0,0,0,0,0
106148002,"2019",0,0,0,0,0,0,0,0,0,0,0
106148003,"2019",0,0,0,0,0,0,0,0,0,0,0
106148004,"2019",0,0,0,0,0,0,0,0,0,0,0
106148005,"2019",0,0,0,0,0,0,0,0,0,0,0
106148006,"2019",0,0,0,0,0,0,0,0,0,0,0
106245001,"2019",0,0,1,2,0,0,1,0,7,1,0
106245002,"2019",0,0,0,0,0,0,0,0,0,1,0
106245003,"2019",0,0,0,0,0,0,0,0,0,0,0
106245004,"2019",0,0,0,0,0,0,0,0,0,0,0
106263001,"2019",0,0,0,0,0,0,0,0,1,3,0
106263002,"2019",0,0,0,0,0,0,0,0,0,0,0
106306001,"2019",0,0,0,0,0,0,1,0,1,0,0
106315001,"2019",0,0,0,0,0,0,0,3,0,0,0
106324001,"2019",0,0,0,0,0,0,0,0,0,0,0
106342001,"2019",0,0,0,0,0,0,0,0,0,0,0
106351001,"2019",0,0,0,0,0,0,1,0,0,0,0
106351002,"2019",0,0,0,0,0,0,2,0,1,0,0
106360001,"2019",0,0,0,0,0,0,0,0,0,0,0
106397001,"2019",0,0,9,4,0,0,0,0,19,19,0
106412001,"2019",0,0,0,0,0,0,0,0,4,1,0
106412002,"2019",0,0,0,0,0,0,0,0,0,0,0
106449001,"2019",0,0,0,0,0,0,0,0,1,1,0
106449002,"2019",0,0,0,0,0,0,0,0,0,0,0
106449003,"2019",0,0,0,0,0,0,0,0,0,0,0
106449004,"2019",0,0,0,0,0,0,0,0,0,0,0
106458001,"2019",0,0,4,2,0,0,0,2,5,2,0
106467001,"2019",0,0,3,0,0,0,0,0,6,0,0
106467002,"2019",0,0,0,0,0,0,0,0,0,0,0
106485001,"2019",0,0,6,0,0,0,0,1,4,0,0
106485002,"2019",0,0,0,0,0,0,0,0,0,0,0
106485003,"2019",0,0,0,0,0,0,0,0,0,0,0
106494001,"2019",0,0,0,0,0,0,0,0,0,0,0
106546001,"2019",0,0,0,0,0,0,0,0,0,0,0
106625001,"2019",0,0,0,0,0,0,0,0,0,0,0
106625002,"2019",0,0,0,0,0,0,0,0,0,0,0
106704001,"2019",0,0,4,1,0,0,1,0,1,1,0
106713001,"2019",0,0,0,0,0,0,0,0,0,0,0
106795001,"2019",0,0,0,0,0,0,0,0,1,0,0
106795002,"2019",0,0,0,0,0,0,0,0,0,0,0
106795003,"2019",0,0,0,0,0,0,0,0,0,0,0
106810001,"2019",0,0,0,0,0,0,0,0,0,0,0
106883001,"2019",0,0,0,0,0,0,0,0,0,0,0
106892001,"2019",0,0,0,0,0,0,0,0,0,0,0
106908001,"2019",0,0,0,0,0,0,0,0,0,0,0
106908002,"2019",0,0,0,0,0,0,0,0,0,0,0
106980001,"2019",0,0,0,1,0,0,0,1,0,0,0
106999001,"2019",0,0,0,0,0,0,0,0,0,0,0
107044001,"2019",0,0,0,0,0,0,0,0,3,1,0
107044002,"2019",0,0,0,0,0,0,0,0,0,0,0
107044003,"2019",0,0,0,0,0,0,0,0,0,0,0
107044004,"2019",0,0,0,0,0,0,0,0,0,0,0
107044005,"2019",0,0,0,0,0,0,0,0,0,0,0
107044006,"2019",0,0,0,0,0,0,0,0,0,0,0
107044007,"2019",0,0,0,0,0,0,0,0,0,0,0
107044009,"2019",0,0,0,0,0,0,0,0,0,0,0
107044010,"2019",0,0,0,0,0,0,0,0,0,0,0
107044011,"2019",0,0,0,0,0,0,0,0,0,0,0
107071001,"2019",0,0,1,0,0,0,1,1,1,1,0
107071002,"2019",0,0,0,0,0,0,0,0,0,0,0
107080001,"2019",0,0,9,5,0,0,0,1,2,0,1
107099001,"2019",0,0,0,0,0,0,0,0,0,0,0
107123001,"2019",0,0,0,0,0,0,0,0,0,3,0
107141001,"2019",0,0,0,1,0,0,0,0,0,0,0
107141002,"2019",0,0,0,0,0,0,0,0,0,0,0
107141003,"2019",0,0,0,0,0,0,0,0,0,0,0
107141004,"2019",0,0,0,0,0,0,0,0,0,0,0
107141005,"2019",0,0,0,0,0,0,0,0,0,0,0
107220001,"2019",0,0,0,0,0,0,0,0,0,0,0
107220002,"2019",0,0,0,0,0,0,0,0,0,0,0
107220003,"2019",0,0,0,0,0,0,0,0,0,0,0
107220004,"2019",0,0,0,0,0,0,0,0,0,0,0
107220005,"2019",0,0,0,0,0,0,0,0,0,0,0
107293001,"2019",0,0,0,0,0,0,0,0,0,0,0
107318001,"2019",0,0,0,0,0,0,0,0,0,0,0
107327001,"2019",0,0,0,0,0,0,0,0,0,0,0
107327002,"2019",0,0,0,0,0,0,0,0,0,0,0
107327003,"2019",0,0,0,0,0,0,0,0,0,0,0
107442001,"2019",0,0,0,0,0,0,0,0,0,0,0
107460001,"2019",0,0,0,0,0,0,0,0,0,0,0
107488001,"2019",0,0,0,0,0,0,0,0,0,1,0
107512001,"2019",0,0,0,0,0,0,0,0,4,0,0
107521001,"2019",0,0,0,0,0,0,0,0,0,0,0
107549001,"2019",0,0,0,0,0,0,0,0,0,0,0
107549002,"2019",0,0,0,0,0,0,0,0,0,0,0
107549003,"2019",0,0,0,0,0,0,0,0,0,0,0
107549004,"2019",0,0,0,0,0,0,0,0,0,0,0
107558001,"2019",0,0,4,0,0,0,0,1,0,0,0
107585001,"2019",0,0,0,0,0,0,0,0,0,0,0
107600001,"2019",0,0,0,0,0,0,0,0,0,0,0
107619001,"2019",0,0,0,0,0,0,0,0,0,0,0
107619002,"2019",0,0,0,0,0,0,0,0,0,0,0
107619003,"2019",0,0,0,0,0,0,0,0,0,0,0
107637001,"2019",0,0,0,1,0,0,0,0,0,0,0
107655001,"2019",0,0,0,0,0,0,0,0,0,0,0
107664001,"2019",0,0,0,0,0,0,0,0,0,0,0
107725001,"2019",0,0,0,0,0,0,0,0,0,0,0
107725002,"2019",0,0,0,0,0,0,0,0,0,0,0
107743001,"2019",0,0,0,0,0,0,0,0,0,0,0
107789001,"2019",0,0,0,0,0,0,0,0,0,0,0
107831001,"2019",0,0,0,0,0,0,0,0,0,0,0
107840001,"2019",0,0,0,0,0,0,0,0,0,0,0
107877001,"2019",0,0,0,0,0,0,0,0,1,0,0
107974001,"2019",0,0,0,0,0,0,0,0,4,0,0
107974002,"2019",0,0,0,0,0,0,0,0,0,0,0
107974003,"2019",0,0,0,0,0,0,0,0,0,0,0
107983001,"2019",0,0,0,0,0,0,0,0,3,0,0
107992001,"2019",0,0,0,0,0,0,0,1,0,0,0
108065001,"2019",0,0,0,0,0,0,0,0,0,0,0
108092001,"2019",0,0,10,0,0,0,0,0,5,0,0
108232001,"2019",0,0,1,9,0,0,1,0,15,4,2
108269001,"2019",0,0,0,0,0,0,0,0,0,0,0
108667001,"2019",0,0,0,0,0,0,0,0,0,0,0
108807001,"2019",0,0,0,0,0,0,0,0,0,0,0
108807002,"2019",0,0,0,0,0,0,0,0,0,0,0
108852001,"2019",0,0,0,0,0,0,0,0,0,0,0
108861001,"2019",0,0,0,0,0,0,0,0,0,0,0
108870001,"2019",0,0,0,0,0,0,0,0,0,0,1
108977001,"2019",0,0,0,0,0,0,0,0,0,0,0
109040001,"2019",0,0,0,0,0,0,0,0,0,1,0
109086001,"2019",0,0,0,0,0,0,0,0,0,0,0
109208001,"2019",0,0,0,1,0,0,0,0,0,4,0
109208002,"2019",0,0,0,0,0,0,0,0,0,0,0
109208003,"2019",0,0,0,0,0,0,0,0,0,0,0
109208004,"2019",0,0,0,0,0,0,0,0,1,0,0
109350001,"2019",0,0,1,0,0,1,1,0,3,1,0
109651001,"2019",0,0,0,0,0,0,0,0,0,0,0
109651002,"2019",0,0,0,0,0,0,0,0,0,0,0
109721001,"2019",0,0,0,0,0,0,0,0,0,0,0
109730001,"2019",0,0,0,0,0,0,0,0,0,0,0
109785001,"2019",0,0,1,5,0,0,0,0,25,2,0
109785002,"2019",0,0,0,0,0,0,1,0,0,1,0
109785004,"2019",0,0,0,0,0,0,0,0,0,0,0
109785005,"2019",0,0,0,0,0,0,0,0,0,0,0
109785006,"2019",0,0,0,0,0,0,0,0,1,0,0
109785007,"2019",0,0,0,0,0,0,0,0,0,0,0
109785008,"2019",0,0,0,0,0,0,0,0,0,0,0
109819001,"2019",0,0,0,2,0,0,0,1,6,10,1
109819002,"2019",0,0,0,0,0,0,0,0,0,0,0
109819003,"2019",0,0,0,0,0,0,0,0,4,0,0
109819004,"2019",0,0,0,0,0,0,0,0,1,0,0
109907001,"2019",0,0,0,0,0,0,0,0,0,0,0
109934001,"2019",0,0,0,0,0,0,0,0,0,0,0
110060001,"2019",0,0,0,0,0,0,0,0,0,0,0
110097001,"2019",0,0,2,1,0,0,0,0,7,3,1
110097013,"2019",0,0,0,0,0,0,0,0,0,0,0
110097015,"2019",0,0,0,0,0,0,0,0,0,0,0
110194001,"2019",0,0,0,0,0,0,0,0,0,0,0
110219001,"2019",0,0,0,0,0,0,0,0,0,0,0
110246001,"2019",0,0,1,3,0,0,0,0,0,1,1
110316001,"2019",0,0,0,0,0,0,0,0,1,0,0
110334001,"2019",0,0,0,0,0,0,0,0,6,2,0
110334002,"2019",0,0,0,0,0,0,0,0,0,0,0
110361001,"2019",0,0,0,2,0,0,0,0,0,3,0
110361007,"2019",0,0,0,0,0,0,0,0,0,0,0
110370001,"2019",0,0,0,0,0,0,0,0,0,0,0
110370002,"2019",0,0,0,0,0,0,0,0,0,0,0
110398001,"2019",0,0,0,0,0,0,1,0,0,0,0
110404001,"2019",0,0,1,27,0,0,0,0,23,0,0
110413001,"2019",0,0,1,2,0,0,0,0,3,2,0
110413002,"2019",0,0,0,0,0,0,0,0,1,0,0
110413004,"2019",0,0,0,0,0,0,0,0,0,0,0
110413005,"2019",0,0,0,0,0,0,0,0,0,0,0
110413006,"2019",0,0,0,0,0,0,0,0,0,0,0
110413007,"2019",0,0,0,0,0,0,0,0,0,0,0
110413008,"2019",0,0,0,0,0,0,0,0,0,0,0
110413009,"2019",0,0,0,0,0,0,0,0,0,0,0
110422001,"2019",0,0,20,5,0,0,0,1,15,2,0
110468001,"2019",0,0,0,0,0,0,0,0,0,0,0
110468002,"2019",0,0,0,0,0,0,0,0,0,0,0
110468003,"2019",0,0,0,0,0,0,0,0,0,0,0
110468004,"2019",0,0,0,0,0,0,0,0,0,0,0
110468005,"2019",0,0,0,0,0,0,0,0,0,0,0
110468006,"2019",0,0,0,0,0,0,0,0,0,0,0
110468011,"2019",0,0,0,0,0,0,0,0,0,0,0
