"UNITID","Students","Demographic"
133702,8731,"Men"
133702,14825,"Women"
133711,773,"Men"
133711,1652,"Women"
133809,353,"Men"
133809,375,"Women"
133845,18,"Men"
133845,207,"Women"
133854,21,"Men"
133854,87,"Women"
133863,20,"Men"
133863,138,"Women"
133872,306,"Men"
133872,1555,"Women"
133881,4035,"Men"
133881,4957,"Women"
133951,23872,"Men"
133951,30851,"Women"
133960,461,"Men"
133960,564,"Women"
133979,559,"Men"
133979,718,"Women"
134024,11,"Men"
134024,14,"Women"
134079,1115,"Men"
134079,2096,"Women"
134097,18487,"Men"
134097,25402,"Women"
134130,24863,"Men"
134130,31448,"Women"
134228,9,"Men"
134228,19,"Women"
134237,18006,"Men"
134237,9163,"Women"
134291,496,"Men"
134291,114,"Women"
134307,960,"Men"
134307,80,"Women"
134343,1922,"Men"
134343,3504,"Women"
134495,8639,"Men"
134495,12844,"Women"
134510,62,"Men"
134510,90,"Women"
134529,32,"Men"
134529,186,"Women"
134574,6,"Men"
134574,89,"Women"
134608,6146,"Men"
134608,9283,"Women"
134714,22,"Men"
134714,164,"Women"
134945,1668,"Men"
134945,2579,"Women"
135081,6490,"Men"
135081,14398,"Women"
135142,2,"Men"
135142,61,"Women"
135160,966,"Men"
135160,1955,"Women"
135179,477,"Men"
135179,417,"Women"
135188,2157,"Men"
135188,3653,"Women"
135267,554,"Men"
135267,210,"Women"
135276,819,"Men"
135276,530,"Women"
135294,259,"Men"
135294,134,"Women"
135337,2,"Men"
135337,28,"Women"
135364,353,"Men"
135364,155,"Women"
135391,3169,"Men"
135391,5581,"Women"
135407,941,"Men"
135407,545,"Women"
135522,421,"Men"
135522,320,"Women"
135559,11,"Men"
135559,59,"Women"
135647,440,"Men"
135647,225,"Women"
135717,24915,"Men"
135717,34026,"Women"
135726,8859,"Men"
135726,10993,"Women"
135735,2312,"Men"
135735,1296,"Women"
136109,7,"Men"
136109,111,"Women"
136145,387,"Men"
136145,881,"Women"
136172,6455,"Men"
136172,9699,"Women"
136215,5954,"Men"
136215,14956,"Women"
136233,1955,"Men"
136233,2797,"Women"
136303,25,"Men"
136303,141,"Women"
136330,1497,"Men"
136330,2650,"Women"
136358,10132,"Men"
136358,15784,"Women"
136400,3643,"Men"
136400,5767,"Women"
136473,3286,"Men"
136473,6205,"Women"
136491,672,"Men"
136491,454,"Women"
136516,3687,"Men"
136516,6631,"Women"
136659,349,"Men"
136659,83,"Women"
136701,141,"Men"
136701,2,"Women"
136765,207,"Men"
136765,200,"Women"
136774,424,"Men"
136774,1242,"Women"
136826,608,"Men"
136826,437,"Women"
136950,1178,"Men"
136950,1868,"Women"
