"unitid","Year","Weapon Possession (Discipline)","Drug Law Violation","Liquor Law Violation"
"136950","2023",0,22,67
"137087","2023",0,0,0
"137120","2023",0,0,0
"137245","2023",0,0,0
"137272","2023",0,0,0
"137476","2023",1,15,18
"137713","2023",0,0,0
"137777","2023",0,0,0
"137847","2023",0,59,243
"137856","2023",0,0,0
"137865","2023",0,0,0
"137953","2023",0,5,0
"137962","2023",0,0,0
"138275","2023",1,0,0
"138284","2023",0,0,0
"138293","2023",0,2,5
"138372","2023",0,0,0
"138479","2023",0,0,0
"138497","2023",0,0,0
"138600","2023",0,1,1
"138655","2023",0,0,0
"138664","2023",0,0,0
"138682","2023",0,0,0
"138761","2023",0,2,5
"138868","2023",1,4,3
"138901","2023",0,0,0
"138929","2023",0,0,0
"138947","2023",0,1,1
"139144","2023",1,15,35
"139153","2023",0,0,0
"139205","2023",0,5,2
"139348","2023",0,0,0
"139357","2023",0,0,0
"139393","2023",0,1,6
"139506","2023",0,0,0
"139630","2023",0,0,0
"139719","2023",1,0,0
"139746","2023",0,0,0
"139764","2023",0,7,0
"139861","2023",0,7,35
"139940","2023",12,122,126
"139959","2023",7,40,266
"139968","2023",0,9,0
"139995","2023",0,0,0
"140146","2023",0,0,0
"140234","2023",0,1,8
"140252","2023",2,3,2
"140340","2023",0,0,0
"140553","2023",0,7,0
"140562","2023",0,0,0
"140571","2023",0,0,0
"140696","2023",2,24,15
"140720","2023",0,4,3
"140827","2023",0,0,0
"140872","2023",1,10,37
"140960","2023",19,11,76
"140988","2023",0,0,0
"141060","2023",0,8,33
"141167","2023",0,0,0
"141185","2023",0,6,10
"141237","2023",0,2,3
"141264","2023",0,3,0
"141325","2023",0,1,0
"141361","2023",0,6,30
"141486","2023",0,1,9
"141565","2023",1,8,32
"141608","2023",0,0,0
"141796","2023",0,0,0
"141802","2023",0,0,0
"141981","2023",0,0,0
"141990","2023",0,0,0
"142054","2023",0,0,0
"142090","2023",0,0,0
"142179","2023",0,1,0
"142294","2023",0,7,2
"142407","2023",0,0,0
"142461","2023",0,0,5
"142489","2023",0,0,0
"142522","2023",0,0,0
"143048","2023",1,8,51
"143084","2023",7,49,82
"143118","2023",0,0,11
"143233","2023",0,0,0
"143288","2023",0,5,11
"143297","2023",0,0,0
"143464","2023",0,0,0
"143473","2023",0,0,0
"143491","2023",0,0,0
"143552","2023",0,0,0
"143659","2023",0,0,0
"143853","2023",0,0,0
"143978","2023",0,0,0
"144005","2023",1,0,2
"144014","2023",0,0,0
"144184","2023",1,0,0
"144209","2023",0,0,1
"144351","2023",1,16,42
"144573","2023",0,0,0
"144883","2023",0,0,0
"144892","2023",1,42,36
"144962","2023",1,18,45
"144971","2023",0,0,1
"145239","2023",0,0,0
"145275","2023",0,0,0
"145309","2023",0,0,0
"145336","2023",0,32,52
"145354","2023",0,0,0
"145372","2023",0,7,9
"145406","2023",0,0,0
"145424","2023",0,0,0
"145433","2023",0,0,0
"145497","2023",0,0,0
"145521","2023",0,0,0
"145558","2023",0,0,0
"145628","2023",0,0,0
"145646","2023",0,9,35
"145691","2023",0,18,30
"145707","2023",0,0,0
"145813","2023",5,186,458
"145886","2023",0,0,0
"146205","2023",0,0,0
"146278","2023",0,0,0
"146348","2023",0,0,0
"146366","2023",0,0,0
"146418","2023",0,0,0
"146427","2023",2,0,28
"146454","2023",0,0,0
"146481","2023",0,22,34
"146490","2023",0,0,0
"146506","2023",0,0,1
"146603","2023",1,0,0
"146700","2023",0,0,0
"146728","2023",0,0,0
"146755","2023",0,0,0
"146807","2023",0,0,0
"146816","2023",0,0,0
"146977","2023",0,0,0
"147013","2023",2,49,144
"147031","2023",0,0,0
"147129","2023",0,0,0
"147244","2023",0,5,14
"147341","2023",0,37,42
"147396","2023",0,0,0
"147411","2023",0,0,0
"147642","2023",0,0,0
"147660","2023",3,38,85
"147679","2023",0,5,29
"147697","2023",0,0,0
"147819","2023",0,0,0
"148007","2023",0,0,0
"148098","2023",0,0,0
"148131","2023",0,14,28
"148256","2023",0,0,0
"148292","2023",0,0,0
"148405","2023",0,0,3
"148496","2023",0,7,7
"148511","2023",0,0,0
"148575","2023",0,0,0
"148593","2023",0,0,0
"148627","2023",2,48,84
"148672","2023",0,0,0
"148885","2023",0,0,0
"148937","2023",0,0,0
"148955","2023",0,0,0
"148982","2023",0,0,0
"149028","2023",0,0,0
"149204","2023",0,0,0
"149310","2023",0,0,0
"149329","2023",0,0,0
"149514","2023",0,0,0
"149532","2023",0,0,0
"149550","2023",0,0,0
"149639","2023",0,0,0
"150066","2023",4,3,0
"150145","2023",0,22,5
"150163","2023",0,10,110
"150172","2023",2,14,5
"150215","2023",0,0,0
"150251","2023",0,0,0
"150288","2023",0,0,0
"150303","2023",0,0,0
"150400","2023",0,24,15
"150428","2023",0,0,0
"150455","2023",0,10,15
"150604","2023",1,6,17
"150668","2023",0,5,23
"150677","2023",0,4,3
"150756","2023",0,9,10
"150774","2023",0,2,9
"150941","2023",0,1,3
"151102","2023",2,21,52
"151263","2023",0,11,34
"151333","2023",0,0,0
"151360","2023",0,0,0
"151379","2023",0,0,24
"151467","2023",0,0,0
"151607","2023",0,0,0
"151661","2023",0,0,0
"151786","2023",0,6,25
"151801","2023",0,0,2
"151810","2023",0,0,0
"151865","2023",0,0,0
"151962","2023",0,0,0
"152150","2023",0,0,0
"152275","2023",0,0,0
"152309","2023",0,0,0
"152336","2023",0,0,12
"152381","2023",0,0,0
"152390","2023",0,0,11
"152451","2023",0,0,0
"152497","2023",0,0,0
"152530","2023",1,1,1
"152600","2023",0,20,60
"152628","2023",0,0,0
"152673","2023",0,0,2
"152798","2023",0,0,0
"152992","2023",0,0,7
"153001","2023",0,16,24
"153083","2023",0,0,0
"153108","2023",0,5,80
"153126","2023",0,7,5
"153144","2023",0,3,17
"153162","2023",0,18,11
"153241","2023",0,0,0
"153250","2023",0,0,8
"153269","2023",1,2,66
"153296","2023",0,3,16
"153302","2023",0,0,0
"153320","2023",0,0,0
"153375","2023",0,32,65
"153427","2023",0,0,0
"153463","2023",0,0,0
"153524","2023",3,19,41
"153542","2023",0,0,0
"153597","2023",0,0,0
"153746","2023",0,0,0
"153764","2023",0,0,0
"153773","2023",0,0,0
"153782","2023",0,0,0
"153825","2023",0,14,43
"153834","2023",0,0,15
"153861","2023",0,1,0
"153922","2023",1,0,34
"153977","2023",0,0,0
"154004","2023",0,22,65
"154013","2023",0,1,0
"154095","2023",0,10,89
"154101","2023",0,2,5
"154129","2023",0,0,0
"154156","2023",0,0,0
"154208","2023",0,0,0
"154262","2023",0,0,0
"154448","2023",0,0,0
"154457","2023",0,0,0
"154466","2023",0,0,0
"154518","2023",1,10,58
"154527","2023",0,6,8
"154536","2023",0,0,0
"154545","2023",0,0,0
"154590","2023",0,24,24
"154712","2023",0,10,117
"154721","2023",0,3,0
"154749","2023",0,0,26
"154800","2023",0,3,5
"154855","2023",1,8,7
"154952","2023",0,0,20
"155007","2023",0,0,0
"155025","2023",0,2,23
"155061","2023",0,2,166
"155070","2023",0,0,0
"155098","2023",0,2,4
"155104","2023",0,8,17
"155140","2023",15,66,128
"155159","2023",0,0,0
"155177","2023",0,6,20
"155283","2023",0,0,0
"155308","2023",0,0,0
"155335","2023",0,0,0
"155414","2023",0,0,0
"155423","2023",0,0,0
"155487","2023",0,0,0
"155496","2023",0,0,0
"155511","2023",0,33,37
"155520","2023",0,2,7
"155618","2023",0,10,4
"155627","2023",0,2,10
"155636","2023",0,0,0
"155681","2023",0,0,0
"155715","2023",0,18,21
"155830","2023",6,0,0
"155858","2023",1,8,20
"155900","2023",0,3,16
"155937","2023",0,10,16
"155973","2023",0,15,27
"156082","2023",0,1,28
"156189","2023",2,2,14
"156213","2023",0,3,3
"156295","2023",0,18,9
"156356","2023",0,5,6
"156408","2023",0,24,34
"156417","2023",0,0,0
"156426","2023",0,0,0
"156471","2023",0,0,0
"156727","2023",0,0,0
"156745","2023",0,8,8
"156754","2023",0,0,0
"156842","2023",0,0,0
"156851","2023",0,0,0
"156967","2023",0,0,0
"157030","2023",0,0,0
"157058","2023",0,0,0
"157076","2023",1,6,8
"157100","2023",0,0,0
"157207","2023",0,0,0
"157298","2023",0,0,0
"157304","2023",0,0,0
"157377","2023",0,6,1
"157386","2023",0,4,23
"157535","2023",0,7,34
"157614","2023",0,0,0
"157650","2023",0,0,0
"157669","2023",0,0,0
"157678","2023",0,0,0
"157757","2023",0,0,0
"157809","2023",0,10,8
