"UNITID","YEAR","Total Students"
118161,"2024",188
118161,"2023",221
118161,"2022",201
118198,"2024",2158
118198,"2023",1677
118198,"2022",1356
118347,"2024",6945
118347,"2023",6437
118347,"2022",6770
118541,"2022",585
118684,"2024",6485
118684,"2023",5738
118684,"2022",5219
118693,"2024",891
118693,"2023",875
118693,"2022",846
118718,"2024",17345
118718,"2023",14859
118718,"2022",13886
118772,"2024",11949
118772,"2023",11059
118772,"2022",10948
118888,"2024",688
118912,"2024",18109
118912,"2023",16640
118912,"2022",16847
118930,"2024",11404
118930,"2023",10088
118930,"2022",10043
118958,"2024",122
118958,"2023",103
118958,"2022",108
118976,"2024",23515
118976,"2023",23598
118976,"2022",22655
118994,"2024",597
118994,"2023",626
118994,"2022",638
119058,"2024",576
119058,"2023",752
119058,"2022",799
119067,"2024",11065
119067,"2023",10180
119067,"2022",10426
119137,"2024",21725
119137,"2023",19526
119137,"2022",19768
119164,"2024",39962
119164,"2023",36662
119164,"2022",36607
119173,"2024",2797
119173,"2023",2919
119173,"2022",3166
119216,"2024",24340
119216,"2023",21870
119216,"2022",19567
119270,"2024",1211
119270,"2023",1241
119270,"2022",1198
119331,"2024",6279
119331,"2023",6216
119331,"2022",6459
119553,"2024",2050
119553,"2023",1999
119553,"2022",1976
119605,"2024",32813
119605,"2023",29451
119605,"2022",28596
119678,"2024",4186
119678,"2023",3939
119678,"2022",3846
119775,"2024",331
119775,"2023",327
119775,"2022",430
119951,"2024",344
119951,"2023",318
119951,"2022",309
120069,"2024",538
120069,"2023",500
120069,"2022",529
120078,"2024",1036
120078,"2023",978
120078,"2022",1061
120087,"2024",431
120087,"2023",351
120087,"2022",414
120166,"2024",545
120166,"2023",289
120166,"2022",97
120184,"2024",319
120184,"2023",255
120184,"2022",301
120254,"2024",1968
120254,"2023",2029
120254,"2022",2024
120290,"2024",15225
120290,"2023",15883
120290,"2022",16743
120342,"2024",22707
120342,"2023",22363
120342,"2022",22807
120403,"2024",1342
120403,"2023",1380
120403,"2022",1310
120421,"2024",11453
120421,"2023",10332
120421,"2022",10459
120537,"2024",1174
120537,"2023",1235
120537,"2022",1271
120661,"2024",752
120661,"2023",1207
120661,"2022",1146
120698,"2024",1274
120698,"2023",1391
120698,"2022",1287
120768,"2024",1517
120768,"2023",1497
120768,"2022",1637
120795,"2024",153
120795,"2023",146
120795,"2022",121
120838,"2024",71
120838,"2023",29
120838,"2022",41
120865,"2024",1281
120865,"2023",1226
120865,"2022",1018
120883,"2024",7407
120883,"2023",6896
120883,"2022",6621
120953,"2024",5790
120953,"2023",6354
120953,"2022",5943
120971,"2024",27097
120971,"2023",25877
120971,"2022",26222
121044,"2024",35539
121044,"2023",30357
121044,"2022",31175
121150,"2024",11790
121150,"2023",12256
121150,"2022",12642
121257,"2024",1236
121257,"2023",1233
121257,"2022",1198
121275,"2022",186
121309,"2024",5331
121309,"2023",5054
121309,"2022",5171
121345,"2024",1763
121345,"2023",1814
121345,"2022",1821
121363,"2024",7010
121363,"2023",5624
121363,"2022",5062
121433,"2024",138
121433,"2023",156
121433,"2022",184
121619,"2024",42829
121619,"2023",38105
121619,"2022",38996
121628,"2024",182
121628,"2023",129
121628,"2022",137
121637,"2024",195
121637,"2023",200
121637,"2022",200
121691,"2024",3643
121691,"2023",3880
121691,"2022",4629
121707,"2024",6103
121707,"2023",5820
121707,"2022",5563
121859,"2024",428
121859,"2023",403
121859,"2022",375
121868,"2024",347
121868,"2023",372
121868,"2022",359
121886,"2024",27997
121886,"2023",24751
121886,"2022",22401
121901,"2024",29605
121901,"2023",28081
121901,"2022",26542
122117,"2024",135
122117,"2023",142
122117,"2022",150
122180,"2024",30100
122180,"2023",28021
122180,"2022",28801
122205,"2024",31341
122205,"2023",28742
122205,"2022",28892
122296,"2024",2418
122296,"2023",2449
122296,"2022",2589
122339,"2024",21460
122339,"2023",20126
122339,"2022",21600
122375,"2024",30204
122375,"2023",29029
122375,"2022",28647
122384,"2024",22905
122384,"2023",21591
122384,"2022",21791
122409,"2024",42660
122409,"2023",40745
122409,"2022",39053
122436,"2024",10282
122436,"2023",9982
122436,"2022",10021
122506,"2024",417
122506,"2023",459
122506,"2022",452
122597,"2024",27106
122597,"2023",28755
122597,"2022",30339
122612,"2024",10564
122612,"2023",11147
122612,"2022",11467
122649,"2024",156
122649,"2023",145
122649,"2022",161
122658,"2024",26520
122658,"2023",23408
122658,"2022",23945
122685,"2024",3787
122685,"2023",3687
122685,"2022",3756
122694,"2024",1250
122694,"2023",1285
122694,"2022",1312
122728,"2024",2109
122728,"2023",2150
122728,"2022",2316
122746,"2024",13710
122746,"2023",11959
122746,"2022",11624
122755,"2024",40205
122755,"2023",39835
122755,"2022",40879
122791,"2024",14972
122791,"2023",12934
122791,"2022",12601
122889,"2024",18903
122889,"2023",18586
122889,"2022",18777
122931,"2024",10129
122931,"2023",9960
122931,"2022",9664
122977,"2024",33626
122977,"2023",32856
122977,"2022",34036
123013,"2024",24209
123013,"2023",23299
123013,"2022",23100
123095,"2024",1257
123095,"2023",1227
123095,"2022",1116
123165,"2024",1112
123165,"2023",1171
123165,"2022",1154
123217,"2024",17735
123217,"2023",16781
123217,"2022",15695
123280,"2024",28
123280,"2023",48
123280,"2022",55
123299,"2024",12499
123299,"2023",11483
123299,"2022",10813
123341,"2024",25455
123341,"2023",23722
123341,"2022",23183
123350,"2024",339
123350,"2023",218
123350,"2022",194
123448,"2024",544
123448,"2023",543
123448,"2022",526
123457,"2024",1210
123457,"2023",1095
123457,"2022",1127
123484,"2024",2811
123484,"2023",2325
123484,"2022",2421
123493,"2024",142
123493,"2023",168
123493,"2022",225
123509,"2024",17069
123509,"2023",15483
123509,"2022",15289
123527,"2024",19506
123527,"2023",16416
123527,"2022",15495
123554,"2024",3108
123554,"2023",3279
123554,"2022",3315
123563,"2024",12782
123563,"2023",12275
123563,"2022",11932
123572,"2024",6695
123572,"2023",7372
123572,"2022",8173
123633,"2024",303
123633,"2023",297
123633,"2022",357
123642,"2024",348
123642,"2023",294
123642,"2022",323
123651,"2024",2545
123651,"2023",2612
123651,"2022",2514
123679,"2024",673
123679,"2023",1168
123679,"2022",1145
123800,"2024",26295
123800,"2023",23693
123800,"2022",22002
123916,"2024",84
123916,"2023",107
123916,"2022",101
123943,"2024",696
