UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
140872,2,  1,"R",8,"R",4,"R",22,"R",46,"R",3,"R",2,"R",4,"R",6,"R",16,"R",10,"R",414,"R",659,"R",20,"R",30,"R",487,"R",757,"R",12,"R",68,"R",5,"R",10,"R",26,"R",1073,"R",50,"R",1244
140942,1,999,"R",40,"R",47,"R",1077,"R",3057,"R",8,"R",15,"R",45,"R",78,"R",70,"R",130,"R",783,"R",1230,"R",52,"R",91,"R",2075,"R",4648,"R",87,"R",4134,"R",23,"R",123,"R",200,"R",2013,"R",143,"R",6723
140942,2,  1,"R",40,"R",47,"R",1077,"R",3057,"R",8,"R",15,"R",45,"R",78,"R",70,"R",130,"R",783,"R",1230,"R",52,"R",91,"R",2075,"R",4648,"R",87,"R",4134,"R",23,"R",123,"R",200,"R",2013,"R",143,"R",6723
140951,1,999,"R",267,"R",318,"R",218,"R",168,"R",11,"R",9,"R",81,"R",80,"R",108,"R",116,"R",1615,"R",1708,"R",1469,"R",1448,"R",3769,"R",3847,"R",585,"R",386,"R",20,"R",161,"R",224,"R",3323,"R",2917,"R",7616
140951,2,  1,"R",139,"R",194,"R",181,"R",140,"R",10,"R",7,"R",64,"R",62,"R",90,"R",98,"R",1386,"R",1441,"R",1259,"R",1243,"R",3129,"R",3185,"R",333,"R",321,"R",17,"R",126,"R",188,"R",2827,"R",2502,"R",6314
140951,4,  3,"R",128,"R",124,"R",37,"R",28,"R",1,"R",2,"R",17,"R",18,"R",18,"R",18,"R",229,"R",267,"R",210,"R",205,"R",640,"R",662,"R",252,"R",65,"R",3,"R",35,"R",36,"R",496,"R",415,"R",1302
140960,1,999,"R",24,"R",27,"R",1264,"R",1784,"Z",0,"R",1,"R",8,"R",3,"R",8,"R",9,"R",93,"R",103,"Z",0,"Z",0,"R",1397,"R",1927,"R",51,"R",3048,"R",1,"R",11,"R",17,"R",196,"Z",0,"R",3324
140960,2,  1,"R",22,"R",27,"R",1243,"R",1698,"Z",0,"R",1,"R",8,"R",3,"R",8,"R",7,"R",77,"R",69,"Z",0,"Z",0,"R",1358,"R",1805,"R",49,"R",2941,"R",1,"R",11,"R",15,"R",146,"Z",0,"R",3163
140960,4,  3,"R",2,"Z",0,"R",21,"R",86,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",16,"R",34,"Z",0,"Z",0,"R",39,"R",122,"R",2,"R",107,"Z",0,"Z",0,"R",2,"R",50,"Z",0,"R",161
140988,1,999,"R",32,"R",25,"R",257,"R",1143,"R",4,"R",12,"R",13,"R",12,"R",17,"R",37,"R",661,"R",925,"R",37,"R",68,"R",1021,"R",2222,"R",57,"R",1400,"R",16,"R",25,"R",54,"R",1586,"R",105,"R",3243
