UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
409670,2,  1,"Z",0,"R",1,"R",72,"R",362,"Z",0,"R",5,"R",10,"R",25,"R",296,"R",1001,"R",26,"R",126,"R",5,"R",48,"R",409,"R",1568,"R",1,"R",434,"R",5,"R",35,"R",1297,"R",152,"R",53,"R",1977
409698,1,999,"R",30,"R",38,"R",69,"R",92,"R",13,"R",28,"R",90,"R",152,"R",390,"R",709,"R",840,"R",1087,"R",293,"R",408,"R",1725,"R",2514,"R",68,"R",161,"R",41,"R",242,"R",1099,"R",1927,"R",701,"R",4239
409698,2,  1,"R",27,"R",22,"R",66,"R",84,"R",12,"R",24,"R",80,"R",138,"R",354,"R",632,"R",763,"R",917,"R",265,"R",337,"R",1567,"R",2154,"R",49,"R",150,"R",36,"R",218,"R",986,"R",1680,"R",602,"R",3721
409698,4,  3,"R",3,"R",16,"R",3,"R",8,"R",1,"R",4,"R",10,"R",14,"R",36,"R",77,"R",77,"R",170,"R",28,"R",71,"R",158,"R",360,"R",19,"R",11,"R",5,"R",24,"R",113,"R",247,"R",99,"R",518
409829,1,999,"Z",0,"Z",0,"R",13,"R",75,"Z",0,"Z",0,"R",2,"R",5,"R",1,"R",4,"R",45,"R",232,"Z",0,"R",1,"R",61,"R",317,"Z",0,"R",88,"Z",0,"R",7,"R",5,"R",277,"R",1,"R",378
409829,2,  1,"Z",0,"Z",0,"R",13,"R",75,"Z",0,"Z",0,"R",2,"R",5,"R",1,"R",4,"R",45,"R",232,"Z",0,"R",1,"R",61,"R",317,"Z",0,"R",88,"Z",0,"R",7,"R",5,"R",277,"R",1,"R",378
409838,1,999,"Z",0,"Z",0,"R",7,"R",36,"Z",0,"R",2,"R",4,"R",6,"R",16,"R",8,"R",67,"R",196,"R",11,"R",68,"R",105,"R",316,"Z",0,"R",43,"R",2,"R",10,"R",24,"R",263,"R",79,"R",421
409838,2,  1,"Z",0,"Z",0,"R",7,"R",36,"Z",0,"R",2,"R",4,"R",6,"R",16,"R",8,"R",67,"R",196,"R",11,"R",68,"R",105,"R",316,"Z",0,"R",43,"R",2,"R",10,"R",24,"R",263,"R",79,"R",421
409874,1,999,"Z",0,"Z",0,"R",12,"R",30,"Z",0,"R",2,"R",20,"R",23,"R",171,"R",345,"R",39,"R",76,"R",65,"R",139,"R",307,"R",615,"Z",0,"R",42,"R",2,"R",43,"R",516,"R",115,"R",204,"R",922
409874,2,  1,"Z",0,"Z",0,"R",12,"R",30,"Z",0,"R",2,"R",20,"R",23,"R",171,"R",345,"R",39,"R",76,"R",65,"R",139,"R",307,"R",615,"Z",0,"R",42,"R",2,"R",43,"R",516,"R",115,"R",204,"R",922
