unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
101143,1,999,"Z",0,"Z",0,"R",156,"R",342,"R",6,"R",20,"R",29,"R",36,"R",57,"R",61,"R",696,"R",1064,"R",22,"R",27,"R",966,"R",1550,"Z",0,"R",498,"R",26,"R",65,"R",118,"R",1760,"R",49,"R",2516
101143,2,1,"Z",0,"Z",0,"R",156,"R",342,"R",6,"R",20,"R",29,"R",36,"R",57,"R",61,"R",696,"R",1064,"R",22,"R",27,"R",966,"R",1550,"Z",0,"R",498,"R",26,"R",65,"R",118,"R",1760,"R",49,"R",2516
101161,1,999,"R",8,"R",3,"R",177,"R",330,"R",27,"R",32,"R",15,"R",13,"R",19,"R",16,"R",1759,"R",2199,"R",5,"R",10,"R",2010,"R",2603,"R",11,"R",507,"R",59,"R",28,"R",35,"R",3958,"R",15,"R",4613
101161,2,1,"R",8,"R",3,"R",177,"R",330,"R",27,"R",32,"R",15,"R",13,"R",19,"R",16,"R",1759,"R",2199,"R",5,"R",10,"R",2010,"R",2603,"R",11,"R",507,"R",59,"R",28,"R",35,"R",3958,"R",15,"R",4613
101189,1,999,"R",5,"R",3,"R",394,"R",1061,"Z",0,"Z",0,"R",19,"R",19,"R",15,"R",12,"R",1071,"R",1111,"R",14,"R",20,"R",1518,"R",2226,"R",8,"R",1455,"Z",0,"R",38,"R",27,"R",2182,"R",34,"R",3744
101189,2,1,"R",5,"R",3,"R",364,"R",1013,"R",0,"R",0,"R",18,"R",17,"R",14,"R",11,"R",921,"R",1001,"R",14,"R",19,"R",1336,"R",2064,"R",8,"R",1377,"Z",0,"R",35,"R",25,"R",1922,"R",33,"R",3400
101189,3,2,"R",0,"R",0,"R",11,"R",11,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",125,"R",89,"R",0,"R",0,"R",136,"R",102,"Z",0,"R",22,"Z",0,"R",1,"R",1,"R",214,"Z",0,"R",238
101189,4,3,"R",0,"R",0,"R",19,"R",37,"R",0,"R",0,"R",1,"R",1,"R",1,"R",0,"R",25,"R",21,"R",0,"R",1,"R",46,"R",60,"Z",0,"R",56,"Z",0,"R",2,"R",1,"R",46,"R",1,"R",106
101231,1,999,"Z",0,"Z",0,"R",2,"R",62,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",200,"Z",0,"Z",0,"R",11,"R",262,"Z",0,"R",64,"Z",0,"Z",0,"Z",0,"R",209,"Z",0,"R",273
101231,2,1,"R",0,"R",0,"R",2,"R",62,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9,"R",200,"R",0,"R",0,"R",11,"R",262,"Z",0,"R",64,"Z",0,"Z",0,"Z",0,"R",209,"Z",0,"R",273
101240,1,999,"R",225,"R",113,"R",570,"R",862,"R",16,"R",24,"R",5,"R",10,"R",23,"R",36,"R",2790,"R",3388,"R",11,"R",14,"R",3640,"R",4447,"R",338,"R",1432,"R",40,"R",15,"R",59,"R",6178,"R",25,"R",8087
101240,2,1,"R",225,"R",113,"R",570,"R",862,"R",16,"R",24,"R",5,"R",10,"R",23,"R",36,"R",2790,"R",3388,"R",11,"R",14,"R",3640,"R",4447,"R",338,"R",1432,"R",40,"R",15,"R",59,"R",6178,"R",25,"R",8087
101286,1,999,"Z",0,"Z",0,"R",629,"R",1151,"R",18,"R",17,"R",46,"R",35,"R",34,"R",35,"R",1977,"R",2453,"R",29,"R",34,"R",2733,"R",3725,"Z",0,"R",1780,"R",35,"R",81,"R",69,"R",4430,"R",63,"R",6458
101286,2,1,"R",0,"R",0,"R",629,"R",1151,"R",18,"R",17,"R",46,"R",35,"R",34,"R",35,"R",1977,"R",2453,"R",29,"R",34,"R",2733,"R",3725,"Z",0,"R",1780,"R",35,"R",81,"R",69,"R",4430,"R",63,"R",6458
101295,1,999,"R",14,"R",1,"R",113,"R",99,"R",13,"R",15,"R",7,"R",16,"R",17,"R",20,"R",2608,"R",4160,"Z",0,"Z",0,"R",2772,"R",4311,"R",15,"R",212,"R",28,"R",23,"R",37,"R",6768,"Z",0,"R",7083
